代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1466,聚隆,"750,787",429,"11,579,107",15.75,15.8,15.2,15.25,-,0.45,15.2,38,15.25,6,0
1467,南緯,"5,209,342","1,216","98,013,805",18.1,19.1,18.1,18.85,+,0.45,18.85,12,18.9,50,0
1468,昶和,"65,000",50,"923,650",14.25,14.55,13.85,14.35,+,0.05,13.8,1,14.25,1,47.83
1470,大統新創,"5,000",1,"86,750",17.35,17.35,17.35,17.35, ,0,17.2,2,17.3,1,46.89
1471,首利,"271,815",141,"1,435,801",5.21,5.36,5.2,5.29,+,0.08,5.28,8,5.29,1,3.09
1472,三洋紡,"16,819",18,"166,431",9.85,9.95,9.84,9.95, ,0,9.95,3,10,3,0
1473,台南,"111,991",109,"1,904,255",17.1,17.1,16.95,17,-,0.05,16.95,21,17,5,0
1474,弘裕,"218,140",129,"2,526,781",11.6,11.7,11.55,11.55, ,0,11.55,22,11.6,4,13.59
1475,業旺,"7,040",7,"248,858",36,36,35,35,X,0,34.8,2,35,5,0
1476,儒鴻,"322,699",292,"133,303,001",416,417.5,411,413.5,-,2.5,412.5,6,413.5,3,29.88
1477,聚陽,"605,255",522,"118,902,830",197,197.5,195,197,+,1,196,13,197,94,21.72
1503,士電,"108,031",105,"5,191,362",47.15,48.4,47.15,48.2,+,0.6,47.9,9,48.2,1,14.97
1504,東元,"4,770,632","2,651","135,717,751",28.15,28.75,28.1,28.5,+,0.35,28.5,34,28.55,7,16.47
1506,正道,"368,233",162,"3,425,911",9.35,9.39,9.27,9.32,-,0.1,9.32,7,9.33,12,0
1507,永大,"60,636",71,"3,558,617",57.8,58.9,57.8,58.6,+,0.6,58.5,4,58.7,3,20.21
1512,瑞利,"30,258",23,"133,231",4.41,4.41,4.4,4.41,-,0.01,4.41,3,4.5,5,0
1513,中興電,"8,188,901","4,209","390,104,741",48.1,48.35,47,47.55,+,0.1,47.55,64,47.6,44,23.42
1514,亞力,"405,643",288,"9,671,862",23.8,24,23.75,23.8, ,0,23.75,48,23.8,15,15.06
1515,力山,"2,702,279","1,808","209,896,510",78.6,78.7,76.4,77.7,-,0.5,77.7,8,77.9,3,21.52
1516,川飛,"34,227",30,"760,344",22.3,22.35,22.15,22.25,+,0.05,22.2,1,22.25,13,27.13
1517,利奇,"542,757",269,"7,004,426",12.85,13,12.85,12.95,+,0.05,12.9,18,12.95,5,86.33
1519,華城,"1,142,857",668,"48,266,533",42.85,43,41.85,42.1,-,0.3,42.1,6,42.15,10,22.04
1521,大億,"49,278",41,"2,588,650",52.6,52.6,52.4,52.5,+,0.1,52.4,2,52.6,16,26.79
1522,堤維西,"498,681",332,"11,010,060",22.1,22.25,22,22.05,-,0.05,22.05,2,22.1,2,27.22
1524,耿鼎,"880,122",381,"8,954,728",10.3,10.35,10.1,10.1,-,0.15,10.1,94,10.15,6,25.25
1525,江申,"97,550",78,"6,521,400",66.7,67.5,66.5,67, ,0,66.6,3,67,5,16.83
1526,日馳,"242,097",188,"10,021,665",41.9,42,40.95,41.4,+,0.1,41.35,3,41.55,1,14.33
1527,鑽全,"336,288",206,"14,216,381",42.25,42.5,42.15,42.35,+,0.2,42.35,9,42.4,21,26.3
1528,恩德,"213,387",127,"1,965,784",9.14,9.37,9.14,9.17,+,0.03,9.17,6,9.18,7,0
1529,樂士,"133,330",58,"2,198,894",16.45,16.6,16.4,16.55,+,0.15,16.55,3,16.65,3,17.99
1530,亞崴,"24,298",30,"769,567",32,32,31.6,31.6,+,0.05,31.6,4,31.85,4,8.85
1531,高林股,"157,295",78,"1,815,434",11.45,11.6,11.45,11.5,+,0.1,11.5,18,11.7,17,0
1532,勤美,"263,015",149,"8,028,345",30.55,30.8,30.3,30.4,-,0.15,30.4,2,30.5,13,48.25
1533,車王電,"34,128,393","21,438","2,531,885,683",73.3,76,72.5,74.8,+,2.9,74.7,12,74.8,49,126.78
1535,中宇,"54,001",19,"1,780,635",32.9,33.1,32.8,32.8,-,0.3,32.8,9,33,2,23.94
